"Baths","Beds","Area","Fireplaces","Sale_Price","Garage_Cars","Year_Built"
3,4,2084,0,233000,2,2004
3,3,1659,0,181000,2,2004
3,3,2110,2,205000,2,1994
2,2,923,1,143000,1,1980
3,3,1845,1,189000,2,1992
2,2,918,1,99500,1,1979
1,2,752,0,125000,1,1984
3,3,1744,0,194500,2,1993
2,3,1097,0,152000,2,1984
3,3,1564,1,171000,2,1980
1,2,1012,0,67500,1,1920
2,4,1902,0,112000,2,1978
1,3,1155,0,148000,2,1961
1,3,894,1,138500,1,1965
1,3,900,0,122000,1,1967
2,3,1040,0,133000,1,1963
2,3,1040,0,127000,1,1962
2,3,1494,2,169000,2,1974
3,3,1923,1,190000,2,1992
3,4,2349,1,362500,3,1993
3,4,2225,1,285000,3,1992
2,2,1488,1,260000,2,2004
3,2,1680,0,190000,2,2004
3,2,1200,0,155000,2,2004
3,2,1200,0,151000,2,2004
3,2,1200,0,149500,2,2004
3,2,1236,0,152000,2,2005
3,2,1478,1,222000,2,2009
3,3,1573,0,177500,2,2000
3,2,1512,0,177000,2,2000
3,3,1416,0,155000,2,1999
3,2,1080,0,147110,2,2003
2,1,1418,1,267916,3,2010
3,3,1848,1,254000,2,2000
1,1,788,1,155000,2,1980
1,1,1226,1,206000,2,1978
3,3,1479,0,130500,2,1976
2,3,1492,1,230000,2,2002
2,4,1829,0,218500,2,1967
3,4,2495,1,243500,2,1993
2,3,1610,2,205000,2,1977
3,3,1891,1,212500,2,1978
3,3,1714,1,196500,2,1988
2,3,1381,1,197500,2,1972
3,4,1645,0,171000,2,1971
2,3,1232,0,142250,2,1966
2,3,1328,2,143000,2,1963
2,3,1225,0,128950,0,1959
1,3,1209,0,159000,2,1966
2,3,1510,0,178900,2,1967
2,3,1775,0,136300,2,1964
1,3,1152,1,180500,2,1964
1,3,1054,0,137500,2,1963
2,6,1728,0,84900,0,1962
1,2,1078,0,142125,1,1950
2,3,2461,2,197600,2,1952
2,3,1556,1,172500,2,1949
1,2,858,0,116500,0,1958
1,3,1306,0,76500,0,1940
1,3,1063,0,128000,1,1954
1,3,1520,2,153000,1,1955
1,2,1268,1,132000,1,1954
1,2,1128,1,178000,1,1966
2,5,2274,0,154300,2,1960
2,3,2207,1,180000,2,1970
3,2,1888,1,190000,2,1966
2,4,1604,0,135000,2,1958
2,3,1480,0,214000,2,2003
1,3,1143,0,136000,1,1959
2,4,1700,1,165500,2,1959
1,3,1314,0,145000,1,1957
1,3,1194,0,148000,1,1959
1,3,1188,0,142000,2,1959
1,3,1264,2,167500,2,1960
1,3,1206,0,108538,1,1959
2,3,1580,2,159500,2,1959
1,3,1337,0,108000,1,1956
1,2,1064,0,135000,1,1952
1,3,972,0,122500,1,1955
1,2,988,0,119000,1,1958
1,3,1057,0,109000,1,1953
1,2,985,0,105000,2,1920
1,2,827,1,107500,1,1955
1,3,1086,0,144900,2,1954
1,2,936,0,129000,1,1956
1,3,1458,1,97500,1,1948
0,0,1056,0,144000,2,1980
1,3,1287,1,162000,2,1959
3,5,2978,1,242000,2,1967
1,3,1224,0,132000,1,1948
2,3,1246,0,154000,1,1959
2,4,1385,0,166000,2,1952
1,3,900,0,134800,2,1951
2,3,1116,0,160000,2,1962
2,3,1175,0,148000,2,1960
1,2,1395,1,192000,2,1963
2,4,1839,1,155000,2,1966
1,3,1844,2,80400,1,1900
1,3,1140,0,96500,0,1910
1,2,936,1,109500,0,1920
1,2,1028,1,115000,2,1927
1,3,1347,0,143000,2,1957
2,3,1605,0,107400,1,1915
1,2,747,0,80000,1,1945
1,2,804,2,119000,1,1940
1,3,1316,0,130000,2,1929
1,3,1251,0,119000,1,1938
1,3,1633,1,129000,1,1948
1,3,1245,0,100000,1,1920
1,2,832,1,12789,2,1923
1,2,720,0,105900,2,1928
2,3,1566,0,150000,1,1900
2,4,1652,0,139000,1,1915
3,3,2268,0,240000,2,1890
2,4,2256,0,76500,0,1910
1,2,1236,0,149700,2,1957
1,3,1363,0,125500,2,1910
2,4,2290,0,122500,2,1885
2,2,1470,0,140750,2,1922
2,3,1612,0,128500,1,1950
2,3,2068,1,209500,1,1922
1,2,765,0,87000,1,1925
1,2,1132,0,134000,1,1939
2,3,1196,2,128000,2,1940
2,3,1453,2,132000,1,1942
2,3,1416,0,139900,1,1948
1,2,1040,0,123900,2,1936
2,4,1536,1,138400,2,1930
1,2,1068,1,109500,1,1923
2,3,1710,0,140000,2,1921
2,4,1962,1,149500,2,1915
2,3,1560,0,159900,0,1912
1,3,1324,0,122000,1,1920
1,2,816,0,110000,2,1963
2,3,1092,0,55000,0,1930
2,4,1812,1,140000,2,1900
2,4,2403,2,244400,1,1940
2,3,1675,2,173000,1,1959
2,3,1224,0,107500,1,1917
1,3,1392,0,100000,0,1915
1,3,919,0,95000,1,1940
2,4,1884,0,93369,0,1907
2,2,1680,1,114900,2,1910
1,2,1020,0,94000,0,1875
2,4,1832,0,136000,0,1967
2,4,1768,0,136500,0,1968
2,3,1039,0,131500,2,1965
2,3,1392,1,121500,2,1957
1,3,912,1,125000,1,1967
1,3,1060,1,154000,1,1968
1,3,892,0,137900,1,1966
2,4,1352,0,158000,1,1969
1,2,864,0,137250,1,1968
1,3,1373,2,160250,2,1978
2,4,1440,2,163000,2,1968
3,3,1386,1,158900,2,1978
3,3,2260,0,328000,2,1996
2,1,1483,2,270000,2,1977
1,2,756,0,85000,2,1927
2,2,1067,0,128000,2,1950
1,0,1524,1,260000,2,1979
3,4,1981,1,230000,2,1978
2,4,1610,1,124000,1,1938
1,2,835,0,83000,1,1920
1,3,1074,1,144500,1,1950
1,3,1144,0,129000,1,1956
1,3,1531,1,127000,1,1947
1,3,1172,0,128000,1,1954
2,3,1212,0,186000,2,2009
1,1,1508,2,308030,2,2009
2,3,1298,0,114000,2,1964
1,2,930,0,84900,1,1946
3,3,1732,1,178000,2,1985
2,1,1433,2,270000,2,1987
3,3,1802,1,218000,4,1993
3,3,1949,1,236000,2,1993
1,2,996,0,147000,2,1992
2,3,1694,0,245350,3,2008
2,2,1208,0,206000,2,2006
2,3,1226,0,198900,3,2009
2,2,1222,0,187000,2,2010
3,5,3222,2,320000,3,1990
2,3,1445,0,138500,2,1900
1,3,1052,0,155000,2,1971
1,2,965,0,159000,2,1996
3,3,1692,1,191000,2,1997
3,3,1682,0,200500,2,1998
2,3,1026,0,150000,1,1977
2,3,1392,0,161750,1,1977
1,3,894,0,128200,1,1976
1,3,876,0,127000,2,1972
3,3,1978,1,318000,3,2003
2,3,1601,1,272000,2,2001
3,3,1829,1,237000,2,2003
3,4,2098,1,240000,2,1997
2,3,1661,0,224900,2,1998
1,1,848,0,143750,2,2003
1,1,848,0,143000,2,2004
2,3,1668,1,232000,2,2003
2,3,1484,0,213000,2,2004
2,3,1414,0,185500,2,2004
1,2,640,0,84900,1,1945
1,3,992,0,155891,1,1954
2,4,1664,0,100000,0,1965
1,3,1196,0,144000,1,1968
1,2,1120,0,64000,2,1948
1,3,1096,1,125200,1,1975
1,3,1117,1,107000,2,1976
1,3,960,0,90000,0,1958
2,2,1121,0,140000,2,2003
2,3,1487,1,113000,1,1945
1,2,924,0,80000,1,1941
1,4,1526,1,144500,1,1957
2,2,1296,1,104000,1,1924
2,4,1647,0,128000,1,1915
1,2,864,0,58500,1,1914
2,3,1691,1,127000,1,1924
1,2,856,1,126000,2,1939
3,6,2650,0,160000,0,1967
1,3,1666,1,100000,0,1931
2,4,2447,1,169000,1,1919
2,4,2133,2,257500,1,1941
3,5,2177,0,215000,2,1950
2,4,2340,2,266500,1,1941
2,3,1902,2,335000,2,1959
3,3,1652,0,203135,2,1994
1,1,1034,1,185000,2,1989
2,2,1191,1,162500,2,1989
2,1,1801,2,289000,2,1959
1,3,1154,0,125500,1,1922
1,1,540,0,82000,1,1941
1,2,1107,0,110000,1,1921
1,2,1128,0,68400,2,1920
1,2,1178,0,102776,1,1900
1,2,1044,0,55993,2,1952
1,3,952,0,50138,1,1896
2,2,1646,1,246000,2,2004
3,3,1916,1,254900,3,1998
2,3,1285,1,190000,2,1977
2,3,1560,0,201000,2,2003
1,3,1034,0,169900,3,1976
3,5,2048,0,170000,2,1976
1,3,1687,2,160000,2,1948
2,3,1346,1,220000,3,2008
2,2,1214,0,179781,2,2009
3,3,1444,0,174000,2,2006
3,4,1968,1,269500,3,2009
3,4,1894,1,214900,2,2002
3,4,1908,0,202900,2,2002
2,3,2018,1,378500,3,2008
1,2,1264,1,169000,2,1965
2,3,1430,0,173500,2,2004
4,4,1824,0,139000,0,1971
2,3,1344,1,166500,2,1999
2,3,1092,0,83500,1,1973
1,2,945,1,119500,1,1973
2,3,1112,0,85000,1,1976
2,3,1092,0,76000,0,1970
1,1,630,0,75500,0,1972
2,3,1092,0,88250,0,1970
2,3,1092,0,85500,1,1972
1,3,874,0,130000,1,1971
1,3,1188,0,157900,1,1962
1,2,833,0,149900,2,1984
6,4,2432,0,159000,2,1985
2,3,1274,0,136000,2,1991
2,5,1479,0,161000,1,1969
3,3,1803,2,285000,2,1994
3,3,1797,1,231000,2,1993
1,2,882,0,124500,1,1956
2,4,1434,1,157000,2,1974
3,4,2704,3,345000,2,1972
3,3,1608,1,189500,2,1997
3,4,2283,1,270000,3,2003
3,3,1628,1,189000,2,1996
2,3,1746,2,377500,3,2006
3,3,1474,1,168500,2,1995
2,1,2522,1,375000,2,2004
2,2,1659,1,278000,2,2000
2,2,1478,0,240000,2,1998
2,2,1734,0,239500,2,1995
3,3,1382,1,177500,2,1998
3,3,1718,1,185000,2,1998
3,3,1636,1,191000,2,1998
3,3,1571,1,178000,2,1993
3,3,1470,1,185000,2,1993
3,3,1516,1,181316,2,1994
2,3,1190,1,166000,2,1993
3,3,1593,1,178000,2,1992
3,3,1481,1,174000,2,1994
2,3,1167,0,173000,2,1992
3,3,1983,1,225000,2,1999
2,3,1442,0,180500,2,1990
1,1,1360,1,187500,2,1984
2,1,2234,1,501837,3,2008
3,3,2046,1,372500,3,2008
2,3,1530,1,260000,2,2005
3,3,1934,1,185000,2,1977
3,4,2353,1,260000,2,1980
2,3,1586,1,181000,2,1979
2,3,1411,1,82500,2,1977
2,3,1602,1,215000,2,1977
3,4,2050,1,154000,2,1978
2,3,1671,1,200000,2,1978
3,4,2673,1,249000,2,1980
2,3,1472,2,187500,2,1980
2,3,1707,1,184000,2,1978
3,4,2524,1,278000,2,1981
2,3,1601,1,157000,2,1978
2,3,1370,1,152000,2,1976
3,4,1868,1,197500,2,1976
3,3,1884,1,240900,2,2003
3,3,1935,0,263435,2,2009
3,3,1874,1,220000,2,2000
3,3,1811,1,235000,2,2002
2,3,1621,2,213000,2,1975
2,3,1116,1,167900,2,1974
2,3,1193,1,158000,2,1975
2,3,1350,1,165000,2,1974
3,3,2119,1,158000,2,1972
4,4,1792,0,136000,0,1974
1,3,1002,0,148500,2,1970
1,3,1026,0,156000,2,1969
2,2,1180,0,128000,2,1970
2,3,1050,0,143000,1,1971
1,3,864,0,76500,2,1970
1,3,864,0,120500,2,1970
1,3,864,0,124500,2,1970
1,2,864,0,97000,2,1971
1,3,864,0,130000,2,1971
2,2,987,0,111000,1,1973
2,3,1365,0,125000,2,1970
3,3,1302,0,112000,1,1971
2,2,987,0,97000,1,1972
2,2,987,0,118000,1,1972
3,3,1302,0,119500,1,1972
2,2,958,0,143750,2,1976
3,3,1548,1,146000,2,1976
3,3,1456,1,148500,2,1976
2,2,1055,1,123000,2,1975
3,3,1322,1,147000,2,1974
3,3,1456,1,137900,2,1977
3,3,1548,1,147000,2,1978
3,3,1441,1,148500,2,1978
3,3,1456,1,138000,2,1978
1,2,836,0,128500,1,1976
1,3,892,0,100000,1,1967
1,3,1120,1,148800,2,1966
2,3,1718,1,337500,3,2006
4,4,2772,3,462000,3,2007
4,4,3140,2,485000,3,2008
2,2,2402,2,555000,3,2008
2,2,1652,2,325000,2,2006
2,3,1600,1,256300,3,2007
3,3,2042,1,253293,3,2008
3,3,2690,1,398800,3,2009
3,3,2184,1,335000,3,2008
2,3,2020,1,404000,3,2008
3,3,2020,1,402861,3,2009
3,3,2296,1,451950,3,2008
3,2,2674,2,610000,3,2007
4,4,2822,1,582933,3,2008
2,3,1736,1,360000,3,2008
2,3,1782,2,296000,3,2004
3,5,2520,1,409900,3,2007
2,3,1717,1,255500,3,2006
2,3,1743,1,335000,3,2008
2,3,1713,1,274900,3,2004
2,2,1531,1,300000,3,2006
2,3,1808,1,324000,3,2008
3,4,2224,1,350000,3,2004
2,3,1836,1,280000,3,2004
2,3,1629,1,284000,3,2003
2,3,1760,1,269500,2,2003
2,3,1502,0,233170,2,2009
2,3,2392,1,386250,3,2003
2,3,2452,1,445000,3,2003
4,4,2400,1,290000,3,2003
2,3,1606,1,255900,3,2006
2,2,1358,1,213000,2,2005
2,1,1306,1,196000,2,2005
2,1,1306,1,184500,2,2005
2,2,1358,1,212500,2,2007
2,2,1314,1,230000,2,2007
3,2,2492,1,552000,3,2004
3,3,2200,1,382500,3,2003
2,2,1884,1,320000,2,2008
2,2,1456,1,248500,2,2008
2,3,1712,1,286500,3,2002
2,2,1324,1,254000,2,2006
2,2,1405,1,173000,2,2003
2,2,1626,0,173000,2,2003
3,3,1456,1,184000,2,2005
3,3,1490,1,167800,2,2005
3,3,1484,1,174000,2,2005
3,3,1560,1,174000,2,2005
2,2,1555,1,174000,3,2007
2,1,1569,1,175900,3,2007
2,2,1555,1,192500,2,2005
2,1,1504,1,181000,2,2005
2,2,1220,1,180000,2,2005
2,2,1145,1,160200,2,2005
3,3,1432,1,188500,2,2004
3,4,2267,1,200000,2,2002
3,3,1374,1,170000,2,2004
3,3,1630,1,189500,2,2004
3,3,1419,1,184100,2,2002
3,3,1594,1,195500,2,2004
3,3,1489,1,192000,2,2003
3,3,1342,1,178000,2,2003
2,2,1314,1,207500,2,2007
3,4,2256,1,236000,2,2000
3,4,2004,1,257500,3,2002
3,3,2054,1,244000,2,2000
3,3,1374,0,167000,2,2004
3,3,1800,1,179000,2,2000
3,3,1514,1,190000,2,2000
3,3,1430,1,156000,2,1999
3,4,2312,1,245000,3,1999
3,3,1675,1,181000,2,1999
3,3,2060,1,214000,2,1999
3,3,1430,1,168000,2,1999
3,3,2365,1,337000,3,1999
3,4,2794,1,403000,3,1995
3,4,2687,2,327000,3,2000
3,3,2450,1,340000,3,1998
3,4,2612,1,336000,3,1998
3,3,2344,1,265000,3,1996
2,3,2063,2,315000,3,1994
3,4,2646,1,260000,3,1993
3,3,2061,1,260000,2,1995
3,3,2232,1,263550,2,1993
3,4,2448,1,402000,3,1994
3,3,1850,1,248000,2,1994
2,3,1468,1,244600,3,2008
2,3,1696,0,275000,3,2008
3,3,1658,1,257500,3,2008
2,3,1578,1,287090,3,2008
2,3,1702,1,275500,3,2007
2,3,1432,1,245000,2,2006
3,3,1971,1,253000,2,2005
2,2,2490,2,468000,3,2005
3,3,1852,1,252678,2,2009
3,3,1590,0,210000,2,2008
2,2,1218,0,208300,2,2009
2,3,1436,0,225000,2,2008
2,3,1314,0,229456,2,2009
2,3,1402,0,229800,2,2008
2,3,1530,1,250000,3,2007
3,2,1766,1,370878,3,2009
2,2,1448,1,238500,2,2006
3,3,2007,1,310000,3,2008
3,3,1795,1,270000,3,2006
3,3,1953,1,252000,3,2005
2,2,1550,0,241000,2,2006
2,3,1836,1,264500,2,2008
2,3,1662,1,291000,3,2006
3,4,2094,1,263000,2,2003
2,2,1221,0,185000,2,2004
2,3,1553,0,234500,2,2003
3,3,1653,0,209000,2,2003
2,3,1218,0,159000,2,2007
2,3,1141,0,152000,2,2006
2,3,1158,0,143500,0,2004
3,3,1812,0,193000,2,2004
2,3,1512,0,203000,3,2004
2,2,1200,0,184900,2,2003
2,3,1114,0,159000,2,2004
2,3,1114,0,142000,0,2004
2,3,1114,0,153000,2,2003
2,2,1450,0,224243,3,2008
3,4,2122,1,220000,2,1996
2,2,1844,1,257000,2,2005
2,3,1434,1,189000,2,2001
3,3,1730,0,171500,2,1992
2,3,1217,1,120000,1,1980
2,2,1332,0,145000,2,1990
3,3,1540,0,184000,2,1994
3,3,1400,0,162000,2,1986
2,4,1882,2,160000,2,1981
1,2,841,0,82000,1,1950
1,2,784,0,76000,2,1928
1,3,980,0,110000,2,1962
1,3,980,0,135000,2,1977
1,3,864,0,141000,2,1961
1,2,864,0,122000,1,1961
2,3,1020,0,124100,1,1965
1,3,912,0,129000,1,1963
1,3,1144,1,131400,1,1961
1,3,864,1,62383,1,1965
1,3,912,0,123000,1,1962
2,2,2014,2,275000,3,1980
3,3,1755,1,235000,2,1991
3,3,3005,1,280750,3,2004
3,2,1224,0,164500,2,2009
3,2,1224,0,173733,2,2009
3,2,1726,1,222000,2,2008
2,1,1256,1,195000,2,2008
3,3,1471,0,172500,2,1999
3,2,1512,0,180000,2,2000
3,3,1452,0,156000,2,1999
3,3,1739,0,172500,2,1999
2,2,1694,1,318750,2,1977
1,1,1226,2,211500,2,1981
2,2,1740,0,241600,2,1981
3,4,2499,1,180500,2,1976
2,3,1620,1,150000,2,1976
2,4,1556,0,154000,2,1968
2,2,1442,1,185000,2,1970
2,3,1489,1,185750,2,1968
3,3,2090,2,200000,2,1973
3,3,2067,2,206000,2,1974
2,3,1395,1,162000,2,1972
3,5,2640,1,256900,2,1967
2,3,1724,1,197900,2,1967
2,3,1336,1,163000,2,1969
1,3,1216,0,113000,1,1969
3,4,2288,2,230000,2,1977
2,2,1334,1,167900,2,1977
2,3,1680,1,213250,2,1998
3,3,1665,0,227000,2,2001
1,2,864,0,130000,1,1967
2,3,1568,0,143000,2,1967
1,2,925,0,117500,1,1965
3,4,2061,1,168500,2,1974
2,3,1320,1,172500,2,1971
2,3,1342,1,161500,2,1967
1,2,894,1,141500,2,1960
1,3,864,0,118000,1,1959
1,2,864,0,127500,1,1959
1,3,1362,1,140000,3,1957
2,3,1728,1,177625,2,1956
2,4,1776,0,110000,3,1958
2,3,1516,0,167000,2,1964
2,3,1313,1,153000,2,1961
2,3,1292,2,145100,2,1964
2,3,1154,1,154000,2,1966
3,4,2140,1,177500,2,1965
2,3,1445,1,158000,2,1964
1,3,1041,0,124500,1,1959
1,4,1576,1,174500,2,1961
1,2,960,0,122000,1,1955
1,2,708,0,82500,0,1940
1,3,1203,1,110000,1,1950
1,2,1505,1,149500,2,1953
1,2,1691,0,175000,2,1967
1,3,1644,2,167000,2,1953
1,2,1050,0,128900,1,1956
2,3,1668,0,140000,1,1950
1,3,1113,1,147000,1,1950
2,4,1584,0,124000,3,1967
2,3,1453,1,187500,2,1961
2,3,1394,2,159000,2,1963
2,2,1567,2,256000,2,1966
3,3,1986,3,205000,2,1965
3,4,2142,1,193500,1,1968
1,2,1392,2,110000,2,1968
2,4,1738,1,104900,1,1920
1,3,1144,0,150000,1,1956
2,3,1478,2,156500,2,1957
2,3,1329,2,176000,2,1960
2,3,988,0,149500,1,1959
2,3,1632,1,139000,1,1958
1,3,1215,0,155000,1,1958
1,3,1202,0,120000,1,1956
1,3,1382,0,153000,1,1955
1,3,1200,2,144000,1,1956
1,3,1382,1,176000,2,1962
1,3,1297,1,153000,2,1954
2,4,1866,0,135000,2,1958
1,3,1062,0,131000,1,1954
1,3,1319,0,123000,1,1953
1,2,1112,0,126000,2,1951
1,2,1005,1,115000,2,1955
1,2,1363,2,164900,1,1951
1,2,793,0,113000,1,1945
1,2,1031,0,145500,1,1952
2,2,1210,0,102900,1,1953
2,3,1699,0,95000,2,1900
2,3,1527,1,152500,2,1948
1,3,1200,0,129900,1,1950
1,2,972,1,132000,1,1948
1,2,792,0,99900,1,1958
3,3,1656,0,135000,1,1916
2,4,1352,0,149000,2,1939
1,2,1039,0,114000,1,1900
1,2,792,0,109500,1,1924
1,3,1078,0,125000,1,1925
2,3,2377,1,142900,2,1915
2,4,1690,0,156500,2,1910
1,2,599,0,59000,0,1940
1,2,1374,0,105000,1,1920
1,2,846,0,106000,2,1920
2,1,725,0,78500,1,1890
4,6,2544,0,190000,3,1969
2,3,1380,0,154000,1,1963
1,3,1040,1,163000,2,1967
4,6,2634,0,200000,4,1969
1,2,951,0,143500,2,1958
1,3,1105,0,135000,1,1957
1,2,1306,0,153000,1,1957
2,3,1478,2,157500,2,1960
1,2,1142,1,113500,1,1958
1,3,1268,1,133000,1,1949
2,2,1040,0,92900,2,1950
1,3,1133,0,128500,2,1950
2,2,1040,0,90000,2,1949
2,3,1904,0,138000,1,1950
1,3,1041,0,128000,1,1958
1,3,1339,0,139000,1,1958
1,2,732,0,118900,1,1952
1,3,1183,0,138000,1,1959
1,3,1148,0,132500,1,1959
2,4,1461,0,133500,1,1949
1,3,1495,0,135000,2,1948
2,4,1806,0,144750,2,1964
1,2,941,0,145000,2,1978
1,3,1045,1,127000,1,1963
1,2,894,0,109500,1,1962
1,3,1224,0,115000,1,1926
2,2,1230,0,110000,2,1910
1,3,1378,0,128900,1,1935
2,4,1944,0,103500,2,1910
2,3,1131,0,66500,1,1941
2,3,1306,0,130000,2,1910
2,3,1464,0,129000,0,1910
2,3,1558,1,150000,2,1939
2,4,2372,0,107500,1,1892
2,4,1701,0,94550,0,1920
2,4,1960,0,124500,2,1952
2,3,1389,2,135000,1,1946
1,3,1447,0,103000,0,1910
1,2,936,0,93000,2,1953
2,3,1328,0,129500,1,1950
2,3,1387,0,93000,1,1954
1,2,861,0,80000,2,1920
1,1,612,0,45000,1,1940
1,2,968,0,37900,0,1910
1,2,886,0,91300,1,1938
1,2,792,0,99500,1,1923
2,2,1452,0,113000,0,1920
2,3,1510,0,87500,2,1910
2,2,1284,0,110000,1,1947
2,2,2138,0,106000,2,1898
2,4,2640,1,265979,4,1880
2,3,2007,0,160000,1,1900
1,3,1288,1,119000,1,1917
2,4,1742,1,168000,2,1882
1,2,816,1,58500,0,1910
1,3,1482,0,143000,2,1920
1,2,1022,0,85000,1,1910
1,2,1869,0,124900,2,1890
1,3,1480,0,119000,1,1920
1,4,1521,0,146500,3,1910
1,2,720,0,34900,0,1920
1,2,797,0,44000,0,1900
2,3,1576,1,223500,2,1923
1,3,1432,1,149000,1,1923
3,3,1548,0,205000,2,1925
2,3,1654,1,137000,1,1930
1,2,952,1,121000,1,1916
1,3,1324,0,128000,1,1936
1,2,1176,0,134900,2,1937
1,3,1348,1,117000,1,1925
1,4,1412,1,132500,1,1939
1,3,1142,0,93000,1,1924
1,2,904,0,119000,1,1926
1,2,1301,0,100000,2,1924
2,3,1539,0,141500,2,1936
1,3,1573,0,133000,1,1935
1,1,800,1,60000,0,1936
1,2,875,0,105000,1,1931
1,2,995,0,115000,1,1925
2,3,1582,1,150000,1,1938
1,2,1072,0,126500,5,1925
2,5,2134,0,214500,2,1916
1,3,2019,0,167500,2,1910
2,3,1768,0,155000,2,1915
2,4,1826,1,155000,1,1915
2,3,1944,0,179900,1,1915
1,5,2229,0,104000,0,1912
2,4,2128,0,62500,0,1922
2,4,1930,0,149000,1,1927
1,2,1208,0,103000,2,1925
1,3,1427,0,123000,1,1915
3,6,1864,0,97500,0,1902
1,3,1666,0,135000,1,1927
1,1,892,0,70000,0,1923
2,3,1403,0,116000,1,1915
1,2,704,0,88750,1,1946
3,3,1200,0,179000,0,1987
3,3,1200,0,179000,0,1987
2,2,1152,0,159900,1,1978
1,1,904,0,61000,0,1922
2,3,1369,0,103600,1,1925
2,4,1112,0,63000,1,1934
2,3,1464,1,175000,2,1963
1,3,1121,0,139000,2,1963
3,3,1683,1,172500,2,1978
2,3,1052,1,113500,1,1967
1,3,899,0,130000,1,1967
1,3,1034,1,149900,2,1978
1,2,858,0,134900,2,1982
1,2,860,0,137000,2,1982
1,3,1092,1,139000,1,1962
2,4,1774,1,165000,1,1961
1,3,1138,1,148000,2,1960
2,4,2071,1,165000,1,1956
1,2,660,0,63900,0,1947
1,5,1788,2,161500,1,1957
1,1,1473,2,143000,1,1968
1,3,1229,0,135000,1,1956
1,1,861,0,82500,2,1940
1,2,1867,3,190000,1,1955
2,4,1733,1,139600,2,1955
1,2,1383,0,122000,2,1954
1,3,1689,1,127500,2,1956
1,2,1073,0,121500,1,1956
1,3,1276,0,60000,1,1958
2,3,1639,1,154400,1,1946
1,2,672,0,113000,1,1941
1,3,1089,1,125000,1,1954
1,3,845,0,84000,1,1957
2,2,1049,0,139500,1,1984
2,3,1716,1,131000,1,1949
1,2,1258,0,105000,1,1939
1,4,1510,1,108000,1,1940
2,1,1061,0,162000,2,1990
2,2,1338,1,156500,2,1983
2,1,2132,1,316600,2,1983
2,3,2196,1,271900,3,1990
3,3,1775,1,213000,2,1993
3,3,1879,1,239900,2,1993
3,3,2020,1,239500,2,1995
1,4,2016,1,131000,2,1880
2,4,1535,0,118964,2,1979
2,2,1224,2,153337,2,1979
2,6,2228,0,147983,2,1979
2,4,1535,0,118858,2,1979
2,4,1535,0,118858,2,1979
2,6,2240,0,142953,2,1979
2,2,1229,2,148325,2,1979
2,4,1513,0,113722,2,1979
6,6,2787,2,269500,4,2000
6,6,2787,2,269500,4,2000
6,6,2787,2,269500,4,2000
2,1,1680,1,323262,3,2009
2,3,1718,1,297000,3,2007
2,3,1630,1,295493,3,2008
2,3,1720,1,332000,3,2008
2,3,1468,1,239900,3,2008
3,3,1768,0,212000,2,2007
2,3,1838,2,272500,2,2007
